domain_id,class,fold,superfamily,family,scop_code,pdb_id,chain,residues,protein_name,organism
d2o8ra1,a,7,15,1,a.7.15.1,2o8r,A,4-112,"Polyphosphate kinase, PPK",Porphyromonas gingivalis [TaxId: 837]
d1ilea1,a,27,1,1,a.27.1.1,1ile,A,642-821,Isoleucyl-tRNA synthetase (IleRS),Thermus thermophilus [TaxId: 274]
d2ct8a2,a,27,1,0,a.27.1.0,2ct8,A,347-497,automated matches,Aquifex aeolicus [TaxId: 63363]
d4bpfa1,a,28,1,0,a.28.1.0,4bpf,A,1-78,automated matches,Bacillus subtilis [TaxId: 1423]
d1p94a_,a,43,1,3,a.43.1.3,1p94,A,,Plasmid partition protein ParG,Salmonella enterica [TaxId: 28901]
d1xrxa1,a,43,1,7,a.43.1.7,1xrx,A,1-35,SeqA,Escherichia coli [TaxId: 562]
d4zbda2,a,45,1,0,a.45.1.0,4zbd,A,91-220,automated matches,Basidomycetes fungus (Phanerochaete chrysosporium) [TaxId: 5306]
d2x64a2,a,45,1,0,a.45.1.0,2x64,A,78-205,automated matches,Xylella fastidiosa [TaxId: 160492]
d1z1va_,a,60,1,2,a.60.1.2,1z1v,A,,"Ste50p, N-terminal domain",Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d2bcqa2,a,60,12,1,a.60.12.1,2bcq,A,329-385,DNA polymerase lambda,Human (Homo sapiens) [TaxId: 9606]
d2o6ka1,a,60,15,1,a.60.15.1,2o6k,A,4-73,Uncharacterized protein MW1311,Staphylococcus aureus [TaxId: 1280]
d1aepa_,a,63,1,1,a.63.1.1,1aep,A,,Apolipophorin-III,Migratory locust (Locusta migratoria) [TaxId: 7004]
d2wq7a2,a,99,1,0,a.99.1.0,2wq7,A,216-509,automated matches,Fruit fly (Drosophila melanogaster) [TaxId: 7227]
d2cvza1,a,100,1,1,a.100.1.1,2cvz,A,158-289,Hydroxyisobutyrate dehydrogenase,Thermus thermophilus [TaxId: 274]
d1z82a2,a,100,1,0,a.100.1.0,1z82,A,167-313,automated matches,Thermotoga maritima [TaxId: 243274]
d1f7ca_,a,116,1,1,a.116.1.1,1f7c,A,,Graf,Chicken (Gallus gallus) [TaxId: 9031]
d5mjza_,a,118,8,0,a.118.8.0,5mjz,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1sz9a1,a,118,9,4,a.118.9.4,1sz9,A,2-140,PCF11 protein,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d6t0bf_,a,118,11,0,a.118.11.0,6t0b,f,,automated matches,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 559292]
d6s7ja_,a,127,1,0,a.127.1.0,6s7j,A,,automated matches,Treponema denticola [TaxId: 999437]
d2outa1,a,140,3,2,a.140.3.2,2out,A,94-131,Uncharacterized protein HI1507 in Mu-like prophage FluMu region,Haemophilus influenzae [TaxId: 727]
d2pq7a1,a,211,1,1,a.211.1.1,2pq7,A,1-217,Predicted hydrolase mes0020,Uncultured thermotogales bacterium [TaxId: 221214]
d3bzca3,a,294,1,1,a.294.1.1,3bzc,A,1-324,Transcriptional accessory factor Tex,Pseudomonas aeruginosa [TaxId: 287]
d1x58a1,a,4,1,1,a.4.1.1,1x58,A,8-56,Hypothetical protein 4930532d21rik,Mouse (Mus musculus) [TaxId: 10090]
d1tc3c_,a,4,1,2,a.4.1.2,1tc3,C,,Transposase tc3a1-65,Nematode (Caenorhabditis elegans) [TaxId: 6239]
d2crga1,a,4,1,3,a.4.1.3,2crg,A,8-64,Metastasis associated protein MTA3,Mouse (Mus musculus) [TaxId: 10090]
d1iufa1,a,4,1,7,a.4.1.7,1iuf,A,1-75,"Ars-binding protein 1, ABP1",Fission yeast (Schizosaccharomyces pombe) [TaxId: 4896]
d1vi0a1,a,4,1,9,a.4.1.9,1vi0,A,6-77,Hypothetical transcriptional regulator YsiA,Bacillus subtilis [TaxId: 1423]
d2gena1,a,4,1,9,a.4.1.9,2gen,A,6-75,Probable transcriptional regulator PA1836,Pseudomonas aeruginosa [TaxId: 287]
d1zk8a1,a,4,1,9,a.4.1.9,1zk8,A,6-77,Transcriptional regulator BC5000,Bacillus cereus [TaxId: 1396]
d1z0xa1,a,4,1,9,a.4.1.9,1z0x,A,4-71,Transcriptional regulator EF0787,Enterococcus faecalis [TaxId: 1351]
d2bgca1,a,4,5,4,a.4.5.4,2bgc,A,138-237,automated matches,Listeria monocytogenes [TaxId: 169963]
d5dd8a_,a,4,5,28,a.4.5.28,5dd8,A,,automated matches,Deinococcus radiodurans [TaxId: 1299]
d5eeha1,a,4,5,29,a.4.5.29,5eeh,A,11-99,Carminomycin 4-O-methyltransferase,Streptomyces peucetius [TaxId: 1950]
d2dt5a1,a,4,5,38,a.4.5.38,2dt5,A,2-77,"Transcriptional repressor Rex, N-terminal domain",Thermus aquaticus [TaxId: 271]
d4cr2r2,a,4,5,47,a.4.5.47,4cr2,R,325-422,"Proteasome regulatory subunit Rpn7, C-terminal domain",Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1u5tb2,a,4,5,54,a.4.5.54,1u5t,B,490-564,Vacuolar protein sorting-associated protein VPS36,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1t6sa2,a,4,5,60,a.4.5.60,1t6s,A,86-162,"Segregation and condensation protein B, ScpB",Chlorobium tepidum [TaxId: 1097]
d5deqa2,a,4,5,68,a.4.5.68,5deq,A,150-218,"Hypothetical protein BT0354, C-terminal domain",Bacteroides thetaiotaomicron [TaxId: 818]
d2fswa1,a,4,5,69,a.4.5.69,2fsw,A,3-104,Hypothetical protein PG0823,Porphyromonas gingivalis [TaxId: 837]
d2ns0a1,a,4,5,76,a.4.5.76,2ns0,A,1-85,Hypothetical protein RHA1_ro06458,Rhodococcus sp. RHA1 [TaxId: 101510]
d2xaua3,a,4,5,0,a.4.5.0,2xau,A,455-520,automated matches,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d2xiga_,a,4,5,0,a.4.5.0,2xig,A,,automated matches,Helicobacter pylori [TaxId: 85962]
d3cjna_,a,4,5,0,a.4.5.0,3cjn,A,,automated matches,Silicibacter pomeroyi [TaxId: 246200]
d3e6ma_,a,4,5,0,a.4.5.0,3e6m,A,,automated matches,Silicibacter pomeroyi [TaxId: 89184]
d7dh8a_,a,4,5,0,a.4.5.0,7dh8,A,,automated matches,Xanthomonas campestris [TaxId: 314565]
d3zq7a_,a,4,6,0,a.4.6.0,3zq7,A,,automated matches,Escherichia coli K-12 [TaxId: 83333]
d1e3pa1,a,4,9,1,a.4.9.1,1e3p,A,263-345,"Polynucleotide phosphorylase/guanosine pentaphosphate synthase (PNPase/GPSI), domain 3",Streptomyces antibioticus [TaxId: 1890]
d6enia_,a,4,12,1,a.4.12.1,6eni,A,,automated matches,Escherichia coli [TaxId: 83334]
d2jrta1,a,4,12,0,a.4.12.0,2jrt,A,1-92,automated matches,Rhodobacter sphaeroides [TaxId: 1063]
d1l8qa1,a,4,12,2,a.4.12.2,1l8q,A,290-399,Chromosomal replication initiation factor DnaA C-terminal domain IV,Aquifex aeolicus [TaxId: 63363]
