domain_id,class,fold,superfamily,family,scop_code,pdb_id,chain,residues,protein_name,organism
d1oeyj_,d,15,2,2,d.15.2.2,1oey,J,,Neutrophil cytosol factor 4 (p40phox component of NADPH oxidase),Human (Homo sapiens) [TaxId: 9606]
d3k12a1,d,79,1,0,d.79.1.0,3k12,A,4-117,automated matches,Pseudomonas aeruginosa [TaxId: 287]
d3td3a1,d,79,7,0,d.79.7.0,3td3,A,221-339,automated matches,Acinetobacter baumannii [TaxId: 470]
d1x3xa_,d,120,1,0,d.120.1.0,1x3x,A,,automated matches,Pig roundworm (Ascaris suum) [TaxId: 6253]
d1th8a1,d,122,1,3,d.122.1.3,1th8,A,1-136,Anti-sigma factor spoIIab,Bacillus stearothermophilus [TaxId: 1422]
d2vz8a5,d,390,1,1,d.390.1.1,2vz8,A,412-490,Acyltransferase domain N-terminal linker,Pig (Sus scrofa) [TaxId: 9823]
d3d9sa1,f,19,1,0,f.19.1.0,3d9s,A,2-245,automated matches,Human (Homo sapiens) [TaxId: 9606]
d7lx0l_,f,31,1,0,f.31.1.0,7lx0,L,,automated matches,Fischerella thermalis [TaxId: 98439]
g1bom.1,g,1,1,1,g.1.1.1,1bom,B,,Bombyxin-II,Silkworm (Bombyx mori) [TaxId: 7091]
d2h7za1,g,7,1,1,g.7.1.1,2h7z,A,1-75,Irditoxin subunit A,Brown tree snake (Boiga irregularis) [TaxId: 92519]
d4gv5a_,g,9,1,2,g.9.1.2,4gv5,A,,Crotamine,South american rattlesnake (Crotalus durissus terrificus) [TaxId: 8732]
d1v9u5_,g,12,1,1,g.12.1.1,1v9u,5,,Very low-density lipoprotein receptor,Human (Homo sapiens) [TaxId: 9606]
d2pspa2,g,16,1,1,g.16.1.1,2psp,A,54-106,Pancreatic spasmolytic polypeptide,Pig (Sus scrofa) [TaxId: 9823]
d3mjga_,g,17,1,1,g.17.1.1,3mjg,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d2ok5a4,g,18,1,1,g.18.1.1,2ok5,A,9-76,Complement factor B,Human (Homo sapiens) [TaxId: 9606]
d3erba3,g,18,1,0,g.18.1.0,3erb,A,129-197,automated matches,Human (Homo sapiens) [TaxId: 9606]
d6v06a4,g,18,1,0,g.18.1.0,6v06,A,184-243,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1afpa_,g,26,1,1,g.26.1.1,1afp,A,,Antifungal protein (AGAFP),Fungus (Aspergillus giganteus) [TaxId: 5060]
d2en2a1,g,37,1,1,g.37.1.1,2en2,A,8-34,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1wjva1,g,37,1,2,g.37.1.2,1wjv,A,8-35,Cell growth regulating nucleolar protein LyaR,Mouse (Mus musculus) [TaxId: 10090]
d1zmec1,g,38,1,1,g.38.1.1,1zme,C,31-66,PUT3,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1xpaa2,g,39,1,5,g.39.1.5,1xpa,A,98-133,"DNA repair factor XPA DNA- and RPA-binding domain, N-terminal subdomain",Human (Homo sapiens) [TaxId: 9606]
d1w4ra2,g,39,1,0,g.39.1.0,1w4r,A,151-191,automated matches,Human (Homo sapiens) [TaxId: 9606]
d2ywwa2,g,41,7,0,g.41.7.0,2yww,A,100-148,automated matches,Methanocaldococcus jannaschii [TaxId: 2190]
d2l7pa1,g,50,2,1,g.50.2.1,2l7p,A,12-100,Histone-lysine N-methyltransferase ASHH2,Thale cress (Arabidopsis thaliana) [TaxId: 3702]
d1exka_,g,54,1,1,g.54.1.1,1exk,A,,Cysteine-rich domain of the chaperone protein DnaJ,Escherichia coli [TaxId: 562]
d1ha8a_,g,58,1,1,g.58.1.1,1ha8,A,,Pheromone ER-23,Euplotes raikovi [TaxId: 5938]
d1u34a1,g,76,1,1,g.76.1.1,1u34,A,39-133,"Corticotropin releasing factor receptor 2, CRFR-2beta",Mouse (Mus musculus) [TaxId: 10090]
d6u26b2,g,77,1,2,g.77.1.2,6u26,B,450-682,automated matches,Human (Homo sapiens) [TaxId: 9606]
d2ayda_,g,79,1,0,g.79.1.0,2ayd,A,,automated matches,Thale cress (Arabidopsis thaliana) [TaxId: 3702]
d1wvka1,g,82,1,1,g.82.1.1,1wvk,A,10-86,Expressed protein At2g23090/F21P24.15,Thale cress (Arabidopsis thaliana) [TaxId: 3702]
d2baia1,g,87,1,1,g.87.1.1,2bai,A,1-32,Polyprotein leader polypeptide,Mengo encephalomyocarditis virus [TaxId: 12107]
d5syba_,g,101,1,1,g.101.1.1,5syb,A,,Pre-mRNA splicing factor Phf5 / Rds3,Human (Homo sapiens) [TaxId: 9606]
d1uhaa1,g,3,1,1,g.3.1.1,1uha,A,1-42,Lectin-D,American pokeweed (Phytolacca americana) [TaxId: 3527]
d2kcga_,g,3,3,3,g.3.3.3,2kcg,A,,automated matches,Sweet violet (Viola odorata) [TaxId: 97441]
d1ixta_,g,3,6,1,g.3.6.1,1ixt,A,,Conotoxin,"Conus gloriamaris, Tx IXa [TaxId: 37336]"
d1axha_,g,3,6,2,g.3.6.2,1axh,A,,Atracotoxin-hvI (versutoxin),Australian funnel-web spider (Hadronyche versuta) [TaxId: 6904]
d1i25a_,g,3,6,2,g.3.6.2,1i25,A,,Huwentoxin-II,Chinese bird spider (Selenocosmia huwena) [TaxId: 29017]
d1y29a_,g,3,6,2,g.3.6.2,1y29,A,,Huwentoxin-X,Spider (Selenocosmia hainana) [TaxId: 209901]
d1eita_,g,3,6,2,g.3.6.2,1eit,A,,mu-Agatoxin-I,Funnel web spider (Agelenopsis aperta) [TaxId: 6908]
d2knia1,g,3,6,2,g.3.6.2,2kni,A,2-41,automated matches,Spider (Psalmopoeus cambridgei) [TaxId: 179874]
d1pe4a_,g,3,7,1,g.3.7.1,1pe4,A,,Scorpion toxin,Mexican scorpion (Centruroides noxius) [TaxId: 6878]
d1wwna_,g,3,7,1,g.3.7.1,1wwn,A,,automated matches,Mesobuthus martensii [TaxId: 34649]
d1px9a_,g,3,7,2,g.3.7.2,1px9,A,,Ergtoxin (HERG specific toxin CnErg1),Mexican scorpion (Centruroides noxius) [TaxId: 6878]
d1acwa_,g,3,7,2,g.3.7.2,1acw,A,,Toxin analog P01,Scorpion (Androctonus mauretanicus mauretanicus) [TaxId: 6860]
d6d8ha_,g,3,7,2,g.3.7.2,6d8h,A,,automated matches,Mesobuthus tamulus [TaxId: 34647]
d2ktca1,g,3,7,2,g.3.7.2,2ktc,A,3-34,automated matches,Mesobuthus tamulus [TaxId: 34647]
d4he7a_,g,3,7,5,g.3.7.5,4he7,A,,Brazzein,J'oublie (Pentadiplandra brazzeana) [TaxId: 43545]
d1jxca_,g,3,7,5,g.3.7.5,1jxc,A,,Trypsin/chymotrypsin inhibitor ATT,Thale cress (Arabidopsis thaliana) [TaxId: 3702]
d3psma_,g,3,7,5,g.3.7.5,3psm,A,,automated matches,Pachyrhizus erosus [TaxId: 109171]
d3p0ya2,g,3,9,1,g.3.9.1,3p0y,A,481-503,"EGF receptor Cys-rich domains, C-terminal domain",Human (Homo sapiens) [TaxId: 9606]
d1n8yc4,g,3,9,1,g.3.9.1,1n8y,C,489-608,Protooncoprotein Her2 extracellular domain,Norway rat (Rattus norvegicus) [TaxId: 10116]
d1lpba2,g,3,10,1,g.3.10.1,1lpb,A,45-90,(Pro)colipase,Pig (Sus scrofa) [TaxId: 9823]
d2kraa2,g,3,10,0,g.3.10.0,2kra,A,37-77,automated matches,Bombina variegata [TaxId: 8348]
d2g81i1,g,3,13,1,g.3.13.1,2g81,I,17-72,"Bowman-Birk inhibitor, BBI",Cowpea (Vigna unguiculata) [TaxId: 3917]
d2z7fi_,g,3,14,0,g.3.14.0,2z7f,I,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1bx7a_,g,3,15,1,g.3.15.1,1bx7,A,,Hirustasin,Medicinal leech (Hirudo medicinalis) [TaxId: 6421]
d2pw8i1,g,3,15,2,g.3.15.2,2pw8,I,3-65,automated matches,Medicinal leech (Hirudo medicinalis) [TaxId: 6421]
d1kloa1,g,3,11,2,g.3.11.2,1klo,A,11-65,Laminin gamma1 chain,Mouse (Mus musculus) [TaxId: 10090]
d1kloa2,g,3,11,2,g.3.11.2,1klo,A,66-121,Laminin gamma1 chain,Mouse (Mus musculus) [TaxId: 10090]
d1kloa3,g,3,11,2,g.3.11.2,1klo,A,122-172,Laminin gamma1 chain,Mouse (Mus musculus) [TaxId: 10090]
d1nuba2,g,3,11,3,g.3.11.3,1nub,A,53-77,Domain of BM-40/SPARC/osteonectin,Human (Homo sapiens) [TaxId: 9606]
d1lr7a1,g,3,11,3,g.3.11.3,1lr7,A,64-88,Domain of follistatin,Norway rat (Rattus norvegicus) [TaxId: 10116]
d1b9wa1,g,3,11,4,g.3.11.4,1b9w,A,1-45,Merozoite surface protein 1 (MSP-1),Malaria parasite (Plasmodium cynomolgi) [TaxId: 5827]
d1b9wa2,g,3,11,4,g.3.11.4,1b9w,A,46-89,Merozoite surface protein 1 (MSP-1),Malaria parasite (Plasmodium cynomolgi) [TaxId: 5827]
d1gl4a2,g,3,11,5,g.3.11.5,1gl4,A,359-398,EGF-like domain of nidogen-1,Mouse (Mus musculus) [TaxId: 10090]
d1jv2b4,g,3,11,6,g.3.11.6,1jv2,B,532-562,Integrin beta EGF-like domains,Human (Homo sapiens) [TaxId: 9606]
d1jv2b5,g,3,11,6,g.3.11.6,1jv2,B,563-605,Integrin beta EGF-like domains,Human (Homo sapiens) [TaxId: 9606]
d1l3ya1,g,3,11,6,g.3.11.6,1l3y,A,1-40,Integrin beta EGF-like domains,Human (Homo sapiens) [TaxId: 9606]
d2j5ha1,g,3,11,7,g.3.11.7,2j5h,A,1-39,Cripto growth factor,Mouse (Mus musculus) [TaxId: 10090]
d4d0ea1,g,3,11,0,g.3.11.0,4d0e,A,412-452,automated matches,Human (Homo sapiens) [TaxId: 9606]
d4d0ea3,g,3,11,0,g.3.11.0,4d0e,A,492-526,automated matches,Human (Homo sapiens) [TaxId: 9606]
d2fd6a1,g,3,11,0,g.3.11.0,2fd6,A,11-49,automated matches,Human (Homo sapiens) [TaxId: 9606]
d2w2ne1,g,3,11,0,g.3.11.0,2w2n,E,293-333,automated matches,Human (Homo sapiens) [TaxId: 9606]
d6m3bd1,g,3,11,0,g.3.11.0,6m3b,D,50-96,automated matches,Human (Homo sapiens) [TaxId: 9606]
d5wb8c_,g,3,11,0,g.3.11.0,5wb8,C,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d6r2wl2,g,3,11,1,g.3.11.1,6r2w,L,49-86,Coagulation factor VIIa,Human (Homo sapiens) [TaxId: 9606]
d6r2wl3,g,3,11,1,g.3.11.1,6r2w,L,87-143,Coagulation factor VIIa,Human (Homo sapiens) [TaxId: 9606]
d1nzia2,g,3,11,1,g.3.11.1,1nzi,A,118-159,Complement C1S component,Human (Homo sapiens) [TaxId: 9606]
d1apqa_,g,3,11,1,g.3.11.1,1apq,A,,Complement protease C1R,Human (Homo sapiens) [TaxId: 9606]
d1g1ta2,g,3,11,1,g.3.11.1,1g1t,A,119-157,"E-selectin, EGF-domain",Human (Homo sapiens) [TaxId: 9606]
d2kv4a_,g,3,11,1,g.3.11.1,2kv4,A,,"Epidermal growth factor, EGF",Human (Homo sapiens) [TaxId: 9606]
d1uzka1,g,3,11,1,g.3.11.1,1uzk,A,1486-1528,Fibrillin-1,Human (Homo sapiens) [TaxId: 9606]
d1lmja1,g,3,11,1,g.3.11.1,1lmj,A,3-46,Fibrillin-1,Human (Homo sapiens) [TaxId: 9606]
d1xdtr_,g,3,11,1,g.3.11.1,1xdt,R,,"Heparin-binding epidermal growth factor, HBEGF",Human (Homo sapiens) [TaxId: 9606]
d1haea_,g,3,11,1,g.3.11.1,1hae,A,,"Heregulin-alpha, EGF-like domain",Human (Homo sapiens) [TaxId: 9606]
d1szba2,g,3,11,1,g.3.11.1,1szb,A,124-168,"Mannose-binding protein associated serine protease 2, MASP2",Human (Homo sapiens) [TaxId: 9606]
d1q4ga2,g,3,11,1,g.3.11.1,1q4g,A,32-73,"Prostaglandin H2 synthase-1, EGF-like module",Sheep (Ovis aries) [TaxId: 9940]
d1dx5i1,g,3,11,1,g.3.11.1,1dx5,I,345-387,"Thrombomodulin, different EGF-like domains",Human (Homo sapiens) [TaxId: 9606]
d1dx5i2,g,3,11,1,g.3.11.1,1dx5,I,388-422,"Thrombomodulin, different EGF-like domains",Human (Homo sapiens) [TaxId: 9606]
d1dx5i3,g,3,11,1,g.3.11.1,1dx5,I,423-462,"Thrombomodulin, different EGF-like domains",Human (Homo sapiens) [TaxId: 9606]
d1moxc_,g,3,11,1,g.3.11.1,1mox,C,,Transforming growth factor alpha,Human (Homo sapiens) [TaxId: 9606]
d2y5fl_,g,3,11,1,g.3.11.1,2y5f,L,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d5e8da_,g,3,11,1,g.3.11.1,5e8d,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
