domain_id,class,fold,superfamily,family,scop_code,pdb_id,chain,residues,protein_name,organism
d1io0a_,c,10,1,1,c.10.1.1,1io0,A,,Tropomodulin C-terminal domain,Chicken (Gallus gallus) [TaxId: 9031]
d5t3ya_,c,23,1,0,c.23.1.0,5t3y,A,,automated matches,Burkholderia multivorans [TaxId: 87883]
d1pkxa1,c,24,1,3,c.24.1.3,1pkx,A,3-200,IMP cyclohydrolase domain of bifunctional purine biosynthesis enzyme ATIC,Human (Homo sapiens) [TaxId: 9606]
d1efpa1,c,26,2,3,c.26.2.3,1efp,A,2-184,"Large, alpha subunit of electron transfer flavoprotein ETFP, N-terminal domain",Paracoccus denitrificans [TaxId: 266]
d4v03a_,c,37,1,0,c.37.1.0,4v03,A,,automated matches,Aquifex aeolicus [TaxId: 63363]
d3c5ca_,c,37,1,0,c.37.1.0,3c5c,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d3pr1a_,c,37,1,0,c.37.1.0,3pr1,A,,automated matches,Thermotoga maritima [TaxId: 2336]
d1chda_,c,40,1,1,c.40.1.1,1chd,A,,"Methylesterase CheB, C-terminal domain",Salmonella typhimurium [TaxId: 90371]
d1u04a3,c,44,3,1,c.44.3.1,1u04,A,324-544,Argonaute homologue PF0537,Pyrococcus furiosus [TaxId: 2261]
d1o8xa_,c,47,1,10,c.47.1.10,1o8x,A,,Tryparedoxin I,Crithidia fasciculata [TaxId: 5656]
d3cxga1,c,47,1,0,c.47.1.0,3cxg,A,19-131,automated matches,Plasmodium falciparum
d3fz4a1,c,47,1,0,c.47.1.0,3fz4,A,1-117,automated matches,Streptococcus mutans [TaxId: 210007]
d2cu2a2,c,68,1,20,c.68.1.20,2cu2,A,1-268,Putative mannose-1-phosphate guanylyl transferase (GDP)/mannose-6-phosphate isomerase TTHA1750,Thermus thermophilus [TaxId: 274]
d3g7na_,c,69,1,0,c.69.1.0,3g7n,A,,automated matches,Penicillium expansum [TaxId: 27334]
d1wiwa_,c,80,1,1,c.80.1.1,1wiw,A,,Glucose-6-phosphate isomerase-like protein TTHA1346,Thermus thermophilus [TaxId: 274]
d1vima1,c,80,1,3,c.80.1.3,1vim,A,2-183,Hypothetical protein AF1796,Archaeoglobus fulgidus [TaxId: 2234]
d2p0sa1,c,94,1,3,c.94.1.3,2p0s,A,48-183,Uncharacterized protein PG0945,Porphyromonas gingivalis [TaxId: 837]
d3mqda1,c,95,1,0,c.95.1.0,3mqd,A,1-249,automated matches,Brucella melitensis [TaxId: 359391]
d1swva_,c,108,1,3,c.108.1.3,1swv,A,,Phosphonoacetaldehyde hydrolase,Bacillus cereus [TaxId: 1396]
d1k3ra2,c,116,1,2,c.116.1.2,1k3r,A,,"Hypothetical protein MTH1 (MT0001), dimerisation domain",Methanobacterium thermoautotrophicum [TaxId: 145262]
d2nx2a1,c,129,1,2,c.129.1.2,2nx2,A,2-177,Hypothetical protein YpsA,Bacillus subtilis [TaxId: 1423]
d2d00a1,c,149,1,1,c.149.1.1,2d00,A,6-109,"V-type ATP synthase subunit F, AtpF",Thermus thermophilus [TaxId: 274]
d1uufa2,c,2,1,1,c.2.1.1,1uuf,A,145-312,Hypothetical protein YahK,Escherichia coli [TaxId: 562]
d1pl8a2,c,2,1,1,c.2.1.1,1pl8,A,146-316,Ketose reductase (sorbitol dehydrogenase),Human (Homo sapiens) [TaxId: 9606]
d1v3va2,c,2,1,1,c.2.1.1,1v3v,A,113-294,Leukotriene b4 12-hydroxydehydrogenase/prostaglandin 15-keto reductase,Guinea pig (Cavia porcellus) [TaxId: 10141]
d1yb5a2,c,2,1,1,c.2.1.1,1yb5,A,121-294,Quinone oxidoreductase,Human (Homo sapiens) [TaxId: 9606]
d1gz6a_,c,2,1,2,c.2.1.2,1gz6,A,,(3R)-hydroxyacyl-CoA dehydrogenase domain of estradiol 17 beta-Dehydrogenase 4,Norway rat (Rattus norvegicus) [TaxId: 10116]
d2ag5a1,c,2,1,2,c.2.1.2,2ag5,A,1-245,"Dehydrogenase/reductase SDR family member 6, DHRS6",Human (Homo sapiens) [TaxId: 9606]
d1ooea_,c,2,1,2,c.2.1.2,1ooe,A,,Dihydropteridin reductase (pteridine reductase),Nematode (Caenorhabditis elegans) [TaxId: 6239]
d2fr1a1,c,2,1,2,c.2.1.2,2fr1,A,1657-1915,"Erythromycin synthase, eryAI, 1st ketoreductase module, C-terminal domain",Saccharopolyspora erythraea [TaxId: 1836]
d2fr1a2,c,2,1,2,c.2.1.2,2fr1,A,1448-1656,"Erythromycin synthase, eryAI, 1st ketoreductase module, N-terminal domain",Saccharopolyspora erythraea [TaxId: 1836]
d1jtva_,c,2,1,2,c.2.1.2,1jtv,A,,Human estrogenic 17beta-hydroxysteroid dehydrogenase,Human (Homo sapiens) [TaxId: 9606]
d1gy8a_,c,2,1,2,c.2.1.2,1gy8,A,,Uridine diphosphogalactose-4-epimerase (UDP-galactose 4-epimerase),Trypanosome (Trypanosoma brucei) [TaxId: 5691]
d3d3wa_,c,2,1,2,c.2.1.2,3d3w,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1li4a1,c,2,1,4,c.2.1.4,1li4,A,190-352,S-adenosylhomocystein hydrolase,Human (Homo sapiens) [TaxId: 9606]
d1s6ya1,c,2,1,5,c.2.1.5,1s6y,A,4-172,6-phospho-beta-glucosidase,Bacillus stearothermophilus [TaxId: 1422]
d1o6za1,c,2,1,5,c.2.1.5,1o6z,A,22-162,Malate dehydrogenase,Haloarcula marismortui [TaxId: 2238]
d1hyea1,c,2,1,5,c.2.1.5,1hye,A,1-145,"MJ0490, lactate/malate dehydrogenase",Methanococcus jannaschii [TaxId: 2190]
d1txga2,c,2,1,6,c.2.1.6,1txg,A,1-180,Glycerol-3- phosphate dehydrogenase,Archaeoglobus fulgidus [TaxId: 2234]
d2i76a2,c,2,1,6,c.2.1.6,2i76,A,2-154,Hypothetical protein TM1727,Thermotoga maritima [TaxId: 2336]
d2g5ca2,c,2,1,6,c.2.1.6,2g5c,A,30-200,Prephenate dehydrogenase TyrA,Aquifex aeolicus [TaxId: 63363]
d3rqsa1,c,2,1,6,c.2.1.6,3rqs,A,23-215,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1bgva1,c,2,1,7,c.2.1.7,1bgv,A,195-449,Glutamate dehydrogenase,Clostridium symbiosum [TaxId: 1512]
d1gpja2,c,2,1,7,c.2.1.7,1gpj,A,144-302,Glutamyl tRNA-reductase middle domain,Methanopyrus kandleri [TaxId: 2320]
d2csua1,c,2,1,8,c.2.1.8,2csu,A,1-129,"Acetate-CoA ligase alpha chain, AcdA, N-terminal domain",Pyrococcus horikoshii [TaxId: 53953]
d2hmta_,c,2,1,9,c.2.1.9,2hmt,A,,Ktn bsu222,Bacillus subtilis [TaxId: 1423]
d1lssa_,c,2,1,9,c.2.1.9,1lss,A,,Ktn Mja218,Methanococcus jannaschii [TaxId: 2190]
d2pk3a_,c,2,1,0,c.2.1.0,2pk3,A,,automated matches,Aneurinibacillus thermoaerophilus [TaxId: 143495]
d4m1qa1,c,2,1,0,c.2.1.0,4m1q,A,3-144,automated matches,Bacillus selenitireducens [TaxId: 439292]
d2q1sa_,c,2,1,0,c.2.1.0,2q1s,A,,automated matches,Bordetella bronchiseptica [TaxId: 518]
d4nbra1,c,2,1,0,c.2.1.0,4nbr,A,1-265,automated matches,Brucella abortus [TaxId: 262698]
d5jlaa_,c,2,1,0,c.2.1.0,5jla,A,,automated matches,Burkholderia xenovorans [TaxId: 266265]
d5epoa_,c,2,1,0,c.2.1.0,5epo,A,,automated matches,Clostridium sardiniense [TaxId: 29369]
d4is2a_,c,2,1,0,c.2.1.0,4is2,A,,automated matches,Clostridium scindens [TaxId: 29347]
d3e9na_,c,2,1,0,c.2.1.0,3e9n,A,,automated matches,Corynebacterium glutamicum [TaxId: 1718]
d2v6ba1,c,2,1,0,c.2.1.0,2v6b,A,22-164,automated matches,Deinococcus radiodurans [TaxId: 1299]
d5o3za_,c,2,1,0,c.2.1.0,5o3z,A,,automated matches,Erwinia amylovora [TaxId: 665029]
d3ai3a_,c,2,1,0,c.2.1.0,3ai3,A,,automated matches,Gluconobacter frateurii [TaxId: 38308]
d4h7pa1,c,2,1,0,c.2.1.0,4h7p,A,1-155,automated matches,Leishmania major [TaxId: 347515]
d6uh2a1,c,2,1,0,c.2.1.0,6uh2,A,1-253,automated matches,Leptospira borgpetersenii [TaxId: 355277]
d5bsea1,c,2,1,0,c.2.1.0,5bse,A,3-169,automated matches,Medicago truncatula [TaxId: 3880]
d4r1sa_,c,2,1,0,c.2.1.0,4r1s,A,,automated matches,Petunia x [TaxId: 4102]
d6wjaa_,c,2,1,0,c.2.1.0,6wja,A,,automated matches,Pseudomonas protegens [TaxId: 220664]
d5xtfa_,c,2,1,0,c.2.1.0,5xtf,A,,automated matches,Pseudomonas sp. [TaxId: 1123041]
d6zzoa_,c,2,1,0,c.2.1.0,6zzo,A,,automated matches,Psychrobacter arcticus [TaxId: 334543]
d3ws7a1,c,2,1,0,c.2.1.0,3ws7,A,1-161,automated matches,Pyrobaculum calidifontis [TaxId: 410359]
d4bmna1,c,2,1,0,c.2.1.0,4bmn,A,1-249,automated matches,Ralstonia sp. [TaxId: 517192]
d3h7aa_,c,2,1,0,c.2.1.0,3h7a,A,,automated matches,Rhodopseudomonas palustris [TaxId: 1076]
d4yaga_,c,2,1,0,c.2.1.0,4yag,A,,automated matches,Sphingobium sp. [TaxId: 627192]
d4mp8a_,c,2,1,0,c.2.1.0,4mp8,A,,automated matches,Staphylococcus aureus [TaxId: 196620]
d4qeca_,c,2,1,0,c.2.1.0,4qec,A,,automated matches,Staphylococcus epidermidis [TaxId: 1282]
d4fn4a_,c,2,1,0,c.2.1.0,4fn4,A,,automated matches,Sulfolobus acidocaldarius [TaxId: 330779]
