domain_id,class,fold,superfamily,family,scop_code,pdb_id,chain,residues,protein_name,organism
d1uhga_,e,1,1,1,e.1.1.1,1uhg,A,,Ovalbumin,Chicken (Gallus gallus) [TaxId: 9031]
d2dcfa1,e,3,1,1,e.3.1.1,2dcf,A,5-392,6-aminohexanoate-dimer hydrolase NylC,Flavobacterium sp. [TaxId: 239]
d1u60a_,e,3,1,2,e.3.1.2,1u60,A,,Probable glutaminase YbaS,Escherichia coli [TaxId: 562]
d5ctma_,e,3,1,0,e.3.1.0,5ctm,A,,automated matches,Bacillus pumilus [TaxId: 1408]
d5tfqa_,e,3,1,0,e.3.1.0,5tfq,A,,automated matches,Bacteroides cellulosilyticus [TaxId: 537012]
d6edma1,e,3,1,0,e.3.1.0,6edm,A,3-252,automated matches,Clostridioides difficile [TaxId: 1496]
d6xqya1,e,3,1,0,e.3.1.0,6xqy,A,237-573,automated matches,Neisseria gonorrhoeae [TaxId: 485]
d1u5ua_,e,5,1,2,e.5.1.2,1u5u,A,,"Allene oxide synthase-lipoxygenase protein, N-terminal domain",Black sea rod (Plexaura homomalla) [TaxId: 47982]
d1u8va2,e,6,1,1,e.6.1.1,1u8v,A,1-275,"4-hydroxybutyryl-CoA dehydratase AbfD, NM domains",Clostridium aminobutyricum [TaxId: 33953]
d1vdwa_,e,7,1,1,e.7.1.1,1vdw,A,,"Archaeal inositol monophosphatase/fructose-1,6-bisphosphatase",Pyrococcus horikoshii [TaxId: 53953]
d1jp4a_,e,7,1,1,e.7.1.1,1jp4,A,,PIPase,Norway rat (Rattus norvegicus) [TaxId: 10116]
d3tyqa_,e,8,1,4,e.8.1.4,3tyq,A,,Viral RNA polymerase,Hepatitis C virus [TaxId: 11103]
d1jiha2,e,8,1,7,e.8.1.7,1jih,A,1-389,DNA polymerase eta,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d4wsbb_,e,8,1,9,e.8.1.9,4wsb,B,,"Polymerase basic protein 1, PB1",Influenza A virus (strain a/little yellow-shouldered bat/guatemala/060/2010(h17n10)) [TaxId: 1129347]
d2ckwa_,e,8,1,0,e.8.1.0,2ckw,A,,automated matches,Sapporo virus [TaxId: 95342]
d1nuia1,e,13,1,2,e.13.1.2,1nui,A,64-255,Primase fragment of primase-helicase protein,Bacteriophage T7 [TaxId: 10760]
d1oisa_,e,15,1,1,e.15.1.1,1ois,A,,"Eukaryotic DNA topoisomerase I, N-terminal DNA-binding fragment",Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1j5rb1,e,22,1,2,e.22.1.2,1j5r,B,2-359,Alcohol dehydrogenase TM0920,Thermotoga maritima [TaxId: 2336]
d3i01m_,e,26,1,3,e.26.1.3,3i01,M,,automated matches,Moorella thermoacetica [TaxId: 1525]
d4c2ma_,e,29,1,2,e.29.1.2,4c2m,A,,RNA polymerase I subunit A190,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d2g8la1,e,50,1,1,e.50.1.1,2g8l,A,1-284,Hypothetical protein PH1575,Pyrococcus horikoshii [TaxId: 53953]
d1vkya_,e,53,1,1,e.53.1.1,1vky,A,,Queuosine biosynthesis protein queA,Thermotoga maritima [TaxId: 2336]
d2azea1,e,63,1,1,e.63.1.1,2aze,A,199-346,Transcription factor DP-1,Human (Homo sapiens) [TaxId: 9606]
d3er9b_,e,69,1,1,e.69.1.1,3er9,B,,automated matches,Vaccinia virus wr [TaxId: 10254]
d2i0za2,e,74,1,1,e.74.1.1,2i0z,A,193-361,Flavoprotein BC4706,Bacillus cereus [TaxId: 1396]
