domain_id,scop_code,class,fold,superfamily,family,pdb_id,chain,residues,protein_name,organism
d3g46a_,a.1.1.2,a,1,1,2,3g46,A,,Hemoglobin I,Ark clam (Scapharca inaequivalvis) [TaxId: 6561]
d1b0ba_,a.1.1.2,a,1,1,2,1b0b,A,,Hemoglobin I,Clam (Lucina pectinata) [TaxId: 244486]
d3d1ka_,a.1.1.2,a,1,1,2,3d1k,A,,"Hemoglobin, alpha-chain",Antarctic fish (Trematomus newnesi) [TaxId: 35730]
d1cg5a_,a.1.1.2,a,1,1,2,1cg5,A,,"Hemoglobin, alpha-chain",Cartilaginous fish akaei (Dasyatis akajei) [TaxId: 31902]
d3d1kb_,a.1.1.2,a,1,1,2,3d1k,B,,"Hemoglobin, beta-chain",Antarctic fish (Trematomus newnesi) [TaxId: 35730]
d1cg5b_,a.1.1.2,a,1,1,2,1cg5,B,,"Hemoglobin, beta-chain",Cartilaginous fish akaei (Dasyatis akajei) [TaxId: 31902]
d1gcvb_,a.1.1.2,a,1,1,2,1gcv,B,,"Hemoglobin, beta-chain",Houndshark (Mustelus griseus) [TaxId: 89020]
d1hlba_,a.1.1.2,a,1,1,2,1hlb,A,,"Hemoglobin, different isoforms","Caudina arenicola, also known as Molpadia arenicola [TaxId: 7698]"
d1tu9a1,a.1.1.2,a,1,1,2,1tu9,A,2-130,Hypothetical protein PA3967,Pseudomonas aeruginosa [TaxId: 287]
d1mbaa_,a.1.1.2,a,1,1,2,1mba,A,,Myoglobin,Slug sea hare (Aplysia limacina) [TaxId: 6502]
d1naza_,a.1.1.2,a,1,1,2,1naz,A,,Myoglobin,Sperm whale (Physeter catodon) [TaxId: 9755]
d1q1fa_,a.1.1.2,a,1,1,2,1q1f,A,,Neuroglobin,Mouse (Mus musculus) [TaxId: 10090]
d1h97a_,a.1.1.2,a,1,1,2,1h97,A,,Trematode hemoglobin/myoglobin,Paramphistomum epiclitum [TaxId: 54403]
d3qm9a_,a.1.1.2,a,1,1,2,3qm9,A,,automated matches,Thunnus atlanticus [TaxId: 48168]
d3qqqa_,a.1.1.2,a,1,1,2,3qqq,A,,automated matches,Trema tomentosa [TaxId: 3480]
d3l0fa_,a.1.1.3,a,1,1,3,3l0f,A,,Phycocyanin alpha subunit,Thermosynechococcus elongatus [TaxId: 197221]
d1b8da_,a.1.1.3,a,1,1,3,1b8d,A,,Phycoerythrin alpha subunit,Red alga (Griffithsia monilis) [TaxId: 42003]
d1xg0c_,a.1.1.3,a,1,1,3,1xg0,C,,Phycoerythrin beta subunit,Cryptophyte (Rhodomonas sp. CS24) [TaxId: 79257]
d4po5b_,a.1.1.3,a,1,1,3,4po5,B,,automated matches,Synechocystis sp. [TaxId: 1111708]
d1kr7a_,a.1.1.4,a,1,1,4,1kr7,A,,Nerve tissue mini-hemoglobin (neural globin),Milky ribbon worm (Cerebratulus lacteus) [TaxId: 6221]
d2wy4a_,a.1.1.0,a,1,1,0,2wy4,A,,automated matches,Campylobacter jejuni [TaxId: 197]
d2ig3a_,a.1.1.0,a,1,1,0,2ig3,A,,automated matches,Campylobacter jejuni [TaxId: 197]
d3pt8a_,a.1.1.0,a,1,1,0,3pt8,A,,automated matches,Clam (Lucina pectinata) [TaxId: 244486]
d2bk9a_,a.1.1.0,a,1,1,0,2bk9,A,,automated matches,Fruit fly (Drosophila melanogaster) [TaxId: 7227]
d2c0ka_,a.1.1.0,a,1,1,0,2c0k,A,,automated matches,Gasterophilus intestinalis [TaxId: 84525]
d6td7a_,a.1.1.0,a,1,1,0,6td7,A,,automated matches,Green alga (Chlamydomonas reinhardtii) [TaxId: 3055]
d6bmea_,a.1.1.0,a,1,1,0,6bme,A,,automated matches,Green alga (Chlamydomonas reinhardtii) [TaxId: 3055]
d3wctd_,a.1.1.0,a,1,1,0,3wct,D,,automated matches,Lamellibrachia satsuma [TaxId: 104711]
d3ubca_,a.1.1.0,a,1,1,0,3ubc,A,,automated matches,Methylacidiphilum infernorum [TaxId: 481448]
d3wfwa1,a.1.1.0,a,1,1,0,3wfw,A,1-133,automated matches,Methylacidiphilum infernorum [TaxId: 481448]
d2wtga_,a.1.1.0,a,1,1,0,2wtg,A,,automated matches,Nematode (Caenorhabditis elegans) [TaxId: 6239]
d4xxia_,a.1.1.0,a,1,1,0,4xxi,A,,automated matches,Nostoc sp. [TaxId: 103690]
d2zs0a_,a.1.1.0,a,1,1,0,2zs0,A,,automated matches,Oligobrachia mashikoi [TaxId: 55676]
d2zs0b_,a.1.1.0,a,1,1,0,2zs0,B,,automated matches,Oligobrachia mashikoi [TaxId: 55676]
d2zs0c_,a.1.1.0,a,1,1,0,2zs0,C,,automated matches,Oligobrachia mashikoi [TaxId: 55676]
d2zs0d_,a.1.1.0,a,1,1,0,2zs0,D,,automated matches,Oligobrachia mashikoi [TaxId: 55676]
d3ozua1,a.1.1.0,a,1,1,0,3ozu,A,1-150,automated matches,Ralstonia eutropha [TaxId: 381666]
d5ziqa1,a.1.1.0,a,1,1,0,5ziq,A,37-190,automated matches,Ramazzottius varieornatus [TaxId: 947166]
d6wk3a_,a.1.1.0,a,1,1,0,6wk3,A,,automated matches,Rhodothermus marinus [TaxId: 518766]
d4po5a1,a.1.1.0,a,1,1,0,4po5,A,2-161,automated matches,Synechocystis sp. [TaxId: 1111708]
d1x46a_,a.1.1.0,a,1,1,0,1x46,A,,automated matches,Tokunagayusurika akamusi [TaxId: 28383]
d1x3ka_,a.1.1.0,a,1,1,0,1x3k,A,,automated matches,Tokunagayusurika akamusi [TaxId: 28383]
d1kf6b1,a.1.2.1,a,1,2,1,1kf6,B,106-243,Fumarate reductase,Escherichia coli [TaxId: 562]
d2h88b2,a.1.2.1,a,1,2,1,2h88,B,115-246,Succinate dehydogenase,Chicken (Gallus gallus) [TaxId: 9031]
d2bs2b1,a.1.2.1,a,1,2,1,2bs2,B,107-240,automated matches,Wolinella succinogenes [TaxId: 844]
d7m32a1,a.1.2.2,a,1,2,2,7m32,A,3-183,"Dihydropyrimidine dehydrogenase, N-terminal domain",Pig (Sus scrofa) [TaxId: 9823]
d6lumb2,a.1.2.0,a,1,2,0,6lum,B,133-260,automated matches,Mycolicibacterium smegmatis [TaxId: 1445611]
d1grja1,a.2.1.1,a,2,1,1,1grj,A,2-79,"GreA transcript cleavage protein, N-terminal domain",Escherichia coli [TaxId: 562]
d2f23a1,a.2.1.1,a,2,1,1,2f23,A,3-77,"GreA transcript cleavage protein, N-terminal domain",Thermus thermophilus [TaxId: 274]
d2p4va1,a.2.1.0,a,2,1,0,2p4v,A,1-79,automated matches,Escherichia coli [TaxId: 562]
d2qamx1,a.2.2.1,a,2,2,1,2qam,X,1-63,Ribosomal protein L29 (L29p),Escherichia coli [TaxId: 562]
d1vq8v1,a.2.2.1,a,2,2,1,1vq8,V,1-65,Ribosomal protein L29 (L29p),Haloarcula marismortui [TaxId: 2238]
d2j0121,a.2.2.1,a,2,2,1,2j01,2,12-62,Ribosomal protein L29 (L29p),Thermus thermophilus [TaxId: 274]
d2qwob_,a.2.3.1,a,2,3,1,2qwo,B,,Auxilin J-domain,Cow (Bos taurus) [TaxId: 9913]
d1wjza1,a.2.3.1,a,2,3,1,1wjz,A,8-88,"CSL-type zinc finger-containing protein 3 (J-domain protein DjC7, 1700030a21RIK)",Mouse (Mus musculus) [TaxId: 10090]
d1fpoa1,a.2.3.1,a,2,3,1,1fpo,A,1-76,"HSC20 (HSCB), N-terminal (J) domain",Escherichia coli [TaxId: 562]
d1iura1,a.2.3.1,a,2,3,1,1iur,A,14-88,Hypothetical protein KIAA0730,Human (Homo sapiens) [TaxId: 9606]
d1fafa_,a.2.3.1,a,2,3,1,1faf,A,,"Large T antigen, the N-terminal J domain",Murine polyomavirus [TaxId: 10634]
d1gh6a1,a.2.3.1,a,2,3,1,1gh6,A,7-117,"Large T antigen, the N-terminal J domain","Simian virus 40, Sv40 [TaxId: 10633]"
d2o37a_,a.2.3.0,a,2,3,0,2o37,A,,automated matches,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d2yuaa1,a.2.3.0,a,2,3,0,2yua,A,8-93,automated matches,Human (Homo sapiens) [TaxId: 9606]
d6rzya1,a.2.3.0,a,2,3,0,6rzy,A,3-70,automated matches,Plasmodium falciparum [TaxId: 36329]
d3ag7a1,a.2.3.0,a,2,3,0,3ag7,A,551-650,automated matches,Thale cress (Arabidopsis thaliana) [TaxId: 3702]
d1fxkc_,a.2.5.1,a,2,5,1,1fxk,C,,Prefoldin alpha subunit,Methanobacterium thermoautotrophicum [TaxId: 145262]
d1fxka_,a.2.5.1,a,2,5,1,1fxk,A,,Prefoldin beta subunit,Methanobacterium thermoautotrophicum [TaxId: 145262]
d1cxzb_,a.2.6.1,a,2,6,1,1cxz,B,,"Protein kinase c-like 1, pkn/prk1",Human (Homo sapiens) [TaxId: 9606]
d4nkgb_,a.2.6.1,a,2,6,1,4nkg,B,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1seta1,a.2.7.1,a,2,7,1,1set,A,1-110,Seryl-tRNA synthetase (SerRS),"Thermus thermophilus, strain hb27 [TaxId: 274]"
d2iy5a1,a.2.7.2,a,2,7,2,2iy5,A,15-84,Phenylalanyl-tRNA synthetase (PheRS),Thermus thermophilus [TaxId: 274]
d1ivsa1,a.2.7.3,a,2,7,3,1ivs,A,797-862,Valyl-tRNA synthetase (ValRS) C-terminal domain,Thermus thermophilus [TaxId: 274]
d1lrza1,a.2.7.4,a,2,7,4,1lrz,A,245-309,Methicillin resistance protein FemA probable tRNA-binding arm,Staphylococcus aureus [TaxId: 1280]
d6p24c1,a.2.7.0,a,2,7,0,6p24,C,5-90,automated matches,Escherichia coli [TaxId: 83333]
d1k4ta1,a.2.8.1,a,2,8,1,1k4t,A,641-712,"Eukaryotic DNA topoisomerase I, dispensable insert domain",Human (Homo sapiens) [TaxId: 9606]
d1qoja_,a.2.9.1,a,2,9,1,1qoj,A,,C-terminal UvrC-binding domain of UvrB,Escherichia coli [TaxId: 562]
d2hldh2,a.2.10.1,a,2,10,1,2hld,H,92-136,Epsilon subunit of F1F0-ATP synthase C-terminal domain,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d2jdih1,a.2.10.1,a,2,10,1,2jdi,H,101-145,Epsilon subunit of F1F0-ATP synthase C-terminal domain,Cow (Bos taurus) [TaxId: 9913]
d1aqta1,a.2.10.1,a,2,10,1,1aqt,A,87-136,Epsilon subunit of F1F0-ATP synthase C-terminal domain,Escherichia coli [TaxId: 562]
d1coja1,a.2.11.1,a,2,11,1,1coj,A,2-90,Fe superoxide dismutase (FeSOD),Aquifex pyrophilus [TaxId: 2714]
d1my6a1,a.2.11.1,a,2,11,1,1my6,A,1-88,Fe superoxide dismutase (FeSOD),Thermosynechococcus elongatus [TaxId: 146786]
d1ix9a1,a.2.11.1,a,2,11,1,1ix9,A,1-90,Mn superoxide dismutase (MnSOD),Escherichia coli [TaxId: 562]
d3ak2a1,a.2.11.0,a,2,11,0,3ak2,A,1-92,automated matches,Aeropyrum pernix [TaxId: 272557]
d4f6ea1,a.2.11.0,a,2,11,0,4f6e,A,2-90,automated matches,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 559292]
d3ceia1,a.2.11.0,a,2,11,0,3cei,A,1-84,automated matches,Helicobacter pylori [TaxId: 210]
d4f2na1,a.2.11.0,a,2,11,0,4f2n,A,22-117,automated matches,Leishmania major [TaxId: 5664]
d2cw3a1,a.2.11.0,a,2,11,0,2cw3,A,4-90,automated matches,Perkinsus marinus [TaxId: 31276]
d6gsca1,a.2.11.0,a,2,11,0,6gsc,A,23-87,automated matches,Sphingobacterium spiritivorum [TaxId: 258]
d3d36c_,a.2.12.1,a,2,12,1,3d36,C,,automated matches,Geobacillus stearothermophilus [TaxId: 272567]
d1us6a_,a.2.13.1,a,2,13,1,1us6,A,,Transcriptional repressor TraM,Agrobacterium tumefaciens [TaxId: 358]
d1tjla1,a.2.14.1,a,2,14,1,1tjl,A,7-110,"DnaK suppressor protein DksA, alpha-hairpin domain",Escherichia coli [TaxId: 562]
d5gmkh_,a.2.15.1,a,2,15,1,5gmk,H,,Pre-mRNA splicing factor Isl1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) [TaxId: 559292]
d1x4ta1,a.2.15.1,a,2,15,1,1x4t,A,8-86,Pre-mRNA-splicing factor ISY1 homolog,Mouse (Mus musculus) [TaxId: 10090]
d2a26a1,a.2.16.1,a,2,16,1,2a26,A,1-47,"Calcyclin-binding protein, CacyBP",Human (Homo sapiens) [TaxId: 9606]
d2f6ma2,a.2.17.1,a,2,17,1,2f6m,A,322-385,"Vacuolar protein sorting-associated protein 23, VPS23",Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d2f6mb2,a.2.17.2,a,2,17,2,2f6m,B,13-118,"Vacuolar protein sorting-associated protein 28, VPS28",Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d2f66c1,a.2.17.3,a,2,17,3,2f66,C,142-206,"Vacuolar protein sorting-associated protein 37, VPS37 (SRN2)",Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d6vmee_,a.2.17.0,a,2,17,0,6vme,E,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1z0pa1,a.2.18.1,a,2,18,1,1z0p,A,1-77,Hypothetical protein SPy1572,Streptococcus pyogenes [TaxId: 1314]
d1z0jb1,a.2.19.1,a,2,19,1,1z0j,B,734-784,FYVE finger-containing Rab5 effector protein rabenosyn-5,Human (Homo sapiens) [TaxId: 9606]
d1z0kb1,a.2.19.1,a,2,19,1,1z0k,B,441-501,FYVE finger-containing Rab5 effector protein rabenosyn-5,Human (Homo sapiens) [TaxId: 9606]
d2ca5a1,a.2.20.1,a,2,20,1,2ca5,A,20-78,MxiH needle protein,Shigella flexneri [TaxId: 623]
d3bhpa_,a.2.21.1,a,2,21,1,3bhp,A,,automated matches,Bacillus subtilis [TaxId: 1423]
d1gu2a_,a.3.1.1,a,3,1,1,1gu2,A,,Cytochrome c'',"Methylophilus methylotrophus, strain w3a1 [TaxId: 17]"
d1i8oa_,a.3.1.1,a,3,1,1,1i8o,A,,Cytochrome c2,Rhodopseudomonas palustris [TaxId: 1076]
d1cc5a_,a.3.1.1,a,3,1,1,1cc5,A,,Cytochrome c5,Azotobacter vinelandii [TaxId: 354]
d1gksa_,a.3.1.1,a,3,1,1,1gks,A,,Cytochrome c551,"Methylophilus methylotrophus, strain w3a1 [TaxId: 17]"
d5xeca_,a.3.1.1,a,3,1,1,5xec,A,,Cytochrome c552,Hydrogenobacter thermophilus [TaxId: 940]
d1ql3a_,a.3.1.1,a,3,1,1,1ql3,A,,Cytochrome c552,Paracoccus denitrificans [TaxId: 266]
d1c52a_,a.3.1.1,a,3,1,1,1c52,A,,Cytochrome c552,Thermus thermophilus [TaxId: 274]
d1b7ca_,a.3.1.1,a,3,1,1,1b7c,A,,Cytochrome c6 (synonym: cytochrome c553),Bacillus pasteurii [TaxId: 1474]
d1c53a_,a.3.1.1,a,3,1,1,1c53,A,,Cytochrome c6 (synonym: cytochrome c553),"Desulfovibrio vulgaris, different strains [TaxId: 881]"
d1ctja_,a.3.1.1,a,3,1,1,1ctj,A,,Cytochrome c6 (synonym: cytochrome c553),Monoraphidium braunii [TaxId: 34112]
d4n0ka1,a.3.1.1,a,3,1,1,4n0k,A,-5-101,Mitochondrial cytochrome c,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1h32b_,a.3.1.1,a,3,1,1,1h32,B,,Mono-heme c-type cytochrome SoxX,Rhodovulum sulfidophilum [TaxId: 35806]
d1e29a_,a.3.1.1,a,3,1,1,1e29,A,,Photosystem II associated cytochrome c549,Synechocystis sp. PCC 6803 [TaxId: 1148]
d1dw0a_,a.3.1.1,a,3,1,1,1dw0,A,,"SHP, an oxygen binding cytochrome c",Rhodobacter sphaeroides [TaxId: 1063]
d2bh4x_,a.3.1.1,a,3,1,1,2bh4,X,,automated matches,Paracoccus versutus [TaxId: 34007]
d1wvec_,a.3.1.1,a,3,1,1,1wve,C,,automated matches,Pseudomonas putida [TaxId: 303]
d1qksa1,a.3.1.2,a,3,1,2,1qks,A,9-135,N-terminal (heme c) domain of cytochrome cd1-nitrite reductase,Paracoccus denitrificans [TaxId: 266]
d3cx5d1,a.3.1.3,a,3,1,3,3cx5,D,62-260,Cytochrome bc1 domain,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1qcrd2,a.3.1.3,a,3,1,3,1qcr,D,167-195,Cytochrome bc1 domain,Cow (Bos taurus) [TaxId: 9913]
d1m70a1,a.3.1.4,a,3,1,4,1m70,A,1-92,Cytochrome c4,Pseudomonas stutzeri [TaxId: 316]
d1m70a2,a.3.1.4,a,3,1,4,1m70,A,93-190,Cytochrome c4,Pseudomonas stutzeri [TaxId: 316]
d1h1oa1,a.3.1.4,a,3,1,4,1h1o,A,12-93,Cytochrome c4,Thiobacillus ferrooxidans [TaxId: 920]
d1h1oa2,a.3.1.4,a,3,1,4,1h1o,A,94-183,Cytochrome c4,Thiobacillus ferrooxidans [TaxId: 920]
d3vrda1,a.3.1.4,a,3,1,4,3vrd,A,1-80,automated matches,Thermochromatium tepidum [TaxId: 1050]
d3vrda2,a.3.1.4,a,3,1,4,3vrd,A,81-174,automated matches,Thermochromatium tepidum [TaxId: 1050]
d1kb0a1,a.3.1.6,a,3,1,6,1kb0,A,579-675,"Quinoprotein alcohol dehydrogenase, C-terminal domain",Comamonas testosteroni [TaxId: 285]
d1kv9a1,a.3.1.6,a,3,1,6,1kv9,A,561-664,"Quinoprotein alcohol dehydrogenase, C-terminal domain","Pseudomonas putida, hk5 [TaxId: 303]"
d1pbya1,a.3.1.7,a,3,1,7,1pby,A,1-85,"Quinohemoprotein amine dehydrogenase A chain, domains 1 and 2",Paracoccus denitrificans [TaxId: 266]
d1pbya2,a.3.1.7,a,3,1,7,1pby,A,86-165,"Quinohemoprotein amine dehydrogenase A chain, domains 1 and 2",Paracoccus denitrificans [TaxId: 266]
d1jmxa1,a.3.1.7,a,3,1,7,1jmx,A,2-85,"Quinohemoprotein amine dehydrogenase A chain, domains 1 and 2",Pseudomonas putida [TaxId: 303]
d1h32a1,a.3.1.8,a,3,1,8,1h32,A,1-150,Di-heme cytochrome c SoxA,Rhodovulum sulfidophilum [TaxId: 35806]
d1h32a2,a.3.1.8,a,3,1,8,1h32,A,151-261,Di-heme cytochrome c SoxA,Rhodovulum sulfidophilum [TaxId: 35806]
d2zxya_,a.3.1.0,a,3,1,0,2zxy,A,,automated matches,Aquifex aeolicus [TaxId: 63363]
d5xdha_,a.3.1.0,a,3,1,0,5xdh,A,,automated matches,Candidatus jettenia [TaxId: 247490]
d5mxza_,a.3.1.0,a,3,1,0,5mxz,A,,automated matches,Candidatus kuenenia [TaxId: 174633]
d4j20a_,a.3.1.0,a,3,1,0,4j20,A,,automated matches,Chlorobium tepidum [TaxId: 194439]
d4aana1,a.3.1.0,a,3,1,0,4aan,A,24-188,automated matches,Geobacter sulfurreducens [TaxId: 243231]
d4aana2,a.3.1.0,a,3,1,0,4aan,A,189-346,automated matches,Geobacter sulfurreducens [TaxId: 243231]
d3cu4a_,a.3.1.0,a,3,1,0,3cu4,A,,automated matches,Geobacter sulfurreducens [TaxId: 35554]
d1umma_,a.3.1.0,a,3,1,0,1umm,A,,automated matches,Methylobacterium extorquens
d1w2la_,a.3.1.0,a,3,1,0,1w2l,A,,automated matches,Rhodothermus marinus [TaxId: 29549]
d4xxla1,a.3.1.0,a,3,1,0,4xxl,A,28-117,automated matches,Sideroxydans lithotrophicus [TaxId: 580332]
d4eiea_,a.3.1.0,a,3,1,0,4eie,A,,automated matches,Synechococcus sp. [TaxId: 32049]
d2ce0a_,a.3.1.0,a,3,1,0,2ce0,A,,automated matches,Thale cress (Arabidopsis thaliana) [TaxId: 3702]
d1p7id_,a.4.1.1,a,4,1,1,1p7i,D,,Engrailed Homeodomain,Fruit fly (Drosophila melanogaster) [TaxId: 7227]
d1lfba_,a.4.1.1,a,4,1,1,1lfb,A,,Hepatocyte nuclear factor 1a (LFB1/HNF1),Rat (Rattus rattus) [TaxId: 10117]
d1mija_,a.4.1.1,a,4,1,1,1mij,A,,Homeo-prospero domain of Prospero protein,Fruit fly (Drosophila melanogaster) [TaxId: 7227]
d1pufa_,a.4.1.1,a,4,1,1,1puf,A,,Homeobox protein hox-a9,Mouse (Mus musculus) [TaxId: 10090]
d1uhsa1,a.4.1.1,a,4,1,1,1uhs,A,9-72,"Homeodomain-only protein, Hop",Mouse (Mus musculus) [TaxId: 10090]
d1x58a1,a.4.1.1,a,4,1,1,1x58,A,8-56,Hypothetical protein 4930532d21rik,Mouse (Mus musculus) [TaxId: 10090]
d1bw5a_,a.4.1.1,a,4,1,1,1bw5,A,,Insulin gene enhancer protein isl-1,Norway rat (Rattus norvegicus) [TaxId: 10116]
d1x2ma1,a.4.1.1,a,4,1,1,1x2m,A,8-58,"Lag1 longevity assurance homolog 6, LASS6",Mouse (Mus musculus) [TaxId: 10090]
d1k61a_,a.4.1.1,a,4,1,1,1k61,A,,mat alpha2 Homeodomain,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1akha_,a.4.1.1,a,4,1,1,1akh,A,,Mating type protein A1 Homeodomain,Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]
d1pufb_,a.4.1.1,a,4,1,1,1puf,B,,pbx1,Human (Homo sapiens) [TaxId: 9606]
d1x41a1,a.4.1.1,a,4,1,1,1x41,A,8-54,"Transcriptional adaptor 2-like, TADA2L, isoform b",Human (Homo sapiens) [TaxId: 9606]
d1qrya1,a.4.1.1,a,4,1,1,1qry,A,5-80,VND/NK-2 protein,Fruit fly (Drosophila melanogaster) [TaxId: 7227]
d1wh7a1,a.4.1.1,a,4,1,1,1wh7,A,8-74,ZF-HD homeobox protein At4g24660,Thale cress (Arabidopsis thaliana) [TaxId: 3702]
d3nara_,a.4.1.1,a,4,1,1,3nar,A,,"Zinc fingers and homeoboxes protein 1, ZHX1",Human (Homo sapiens) [TaxId: 9606]
d3a02a_,a.4.1.1,a,4,1,1,3a02,A,,automated matches,Fruit fly (Drosophila melanogaster) [TaxId: 7227]
d3a01a_,a.4.1.1,a,4,1,1,3a01,A,,automated matches,Fruit fly (Drosophila melanogaster) [TaxId: 7227]
d3k2aa_,a.4.1.1,a,4,1,1,3k2a,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d4j19a_,a.4.1.1,a,4,1,1,4j19,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d2mw8a_,a.4.1.1,a,4,1,1,2mw8,A,,automated matches,Human (Homo sapiens) [TaxId: 9606]
d1gdta1,a.4.1.2,a,4,1,2,1gdt,A,141-183,"gamma,delta resolvase (C-terminal domain)",Escherichia coli [TaxId: 562]
d1ijwc_,a.4.1.2,a,4,1,2,1ijw,C,,HIN recombinase (DNA-binding domain),Synthetic
d2ezla_,a.4.1.2,a,4,1,2,2ezl,A,,Ibeta subdomain of the mu end DNA-binding domain of phage mu transposase,Bacteriophage Mu [TaxId: 10677]
d2ezia_,a.4.1.2,a,4,1,2,2ezi,A,,Transposase,Bacteriophage Mu [TaxId: 10677]
d1tc3c_,a.4.1.2,a,4,1,2,1tc3,C,,Transposase tc3a1-65,Nematode (Caenorhabditis elegans) [TaxId: 6239]
d1u78a2,a.4.1.2,a,4,1,2,1u78,A,55-104,Transposase tc3a1-65,Nematode (Caenorhabditis elegans) [TaxId: 6239]
d1ug2a1,a.4.1.3,a,4,1,3,1ug2,A,1-89,2610100b20rik gene product,Mouse (Mus musculus) [TaxId: 10090]
d1a5ja2,a.4.1.3,a,4,1,3,1a5j,A,56-110,b-Myb DNA binding domain,Chicken (Gallus gallus) [TaxId: 9031]
d1guua_,a.4.1.3,a,4,1,3,1guu,A,,"c-Myb, DNA-binding domain",Mouse (Mus musculus) [TaxId: 10090]
d2cqqa1,a.4.1.3,a,4,1,3,2cqq,A,8-66,DnaJ homolog subfamily C member 1,Human (Homo sapiens) [TaxId: 9606]
d2cqra1,a.4.1.3,a,4,1,3,2cqr,A,8-66,DnaJ homolog subfamily C member 1,Human (Homo sapiens) [TaxId: 9606]
d1wgxa1,a.4.1.3,a,4,1,3,1wgx,A,8-67,Hypothetical protein C14orf106 (KIAA1903),Human (Homo sapiens) [TaxId: 9606]
d2crga1,a.4.1.3,a,4,1,3,2crg,A,8-64,Metastasis associated protein MTA3,Mouse (Mus musculus) [TaxId: 10090]
d2cu7a1,a.4.1.3,a,4,1,3,2cu7,A,8-72,MYSM1 (KIAA1915),Human (Homo sapiens) [TaxId: 9606]
d2cjja1,a.4.1.3,a,4,1,3,2cjj,A,8-70,Radialis,Garden snapdragon (Antirrhinum majus) [TaxId: 4151]
d1fexa_,a.4.1.3,a,4,1,3,1fex,A,,Rap1,Human (Homo sapiens) [TaxId: 9606]
d2uxnb1,a.4.1.3,a,4,1,3,2uxn,B,376-440,"REST corepressor 1, CoREST",Human (Homo sapiens) [TaxId: 9606]
d1ofcx1,a.4.1.3,a,4,1,3,1ofc,X,799-850,SANT domain of the nucleosome remodeling ATPase ISWI,Fruit fly (Drosophila melanogaster) [TaxId: 7227]
d2ckxa1,a.4.1.3,a,4,1,3,2ckx,A,578-660,Telomere binding protein TBP1,Tobacco (Nicotiana tabacum) [TaxId: 4097]
d1h8ac1,a.4.1.3,a,4,1,3,1h8a,C,87-143,v-Myb,Avian myeloblastosis virus [TaxId: 11866]
